MeasurementTime,Frequency
2024-10-12T13:00:00Z,49.911
2024-10-12T13:00:15Z,49.878
2024-10-12T13:00:30Z,49.855
2024-10-12T13:00:45Z,49.849
2024-10-12T13:01:00Z,49.845
2024-10-12T13:01:15Z,49.83
2024-10-12T13:01:30Z,49.853
2024-10-12T13:01:45Z,49.874
2024-10-12T13:02:00Z,49.88
2024-10-12T13:02:15Z,49.875
2024-10-12T13:02:30Z,49.868
2024-10-12T13:02:45Z,49.865
2024-10-12T13:03:00Z,49.85
2024-10-12T13:03:15Z,49.843
2024-10-12T13:03:30Z,49.851
2024-10-12T13:03:45Z,49.85
2024-10-12T13:04:00Z,49.852
2024-10-12T13:04:15Z,49.899
2024-10-12T13:04:30Z,49.934
2024-10-12T13:04:45Z,49.949
2024-10-12T13:05:00Z,49.958
2024-10-12T13:05:15Z,49.965
2024-10-12T13:05:30Z,49.986
2024-10-12T13:05:45Z,49.993
2024-10-12T13:06:00Z,50.027
2024-10-12T13:06:15Z,50.029
2024-10-12T13:06:30Z,50.017
2024-10-12T13:06:45Z,50.031
2024-10-12T13:07:00Z,50.041
2024-10-12T13:07:15Z,50.04
2024-10-12T13:07:30Z,50.043
2024-10-12T13:07:45Z,50.062
2024-10-12T13:08:00Z,50.053
2024-10-12T13:08:15Z,50.03
2024-10-12T13:08:30Z,50.028
2024-10-12T13:08:45Z,50.039
2024-10-12T13:09:00Z,50.034
2024-10-12T13:09:15Z,50.07
2024-10-12T13:09:30Z,50.073
2024-10-12T13:09:45Z,50.076
2024-10-12T13:10:00Z,50.058
2024-10-12T13:10:15Z,50.058
2024-10-12T13:10:30Z,50.065
2024-10-12T13:10:45Z,50.084
2024-10-12T13:11:00Z,50.042
2024-10-12T13:11:15Z,50.066
2024-10-12T13:11:30Z,50.086
2024-10-12T13:11:45Z,50.093
2024-10-12T13:12:00Z,50.099
2024-10-12T13:12:15Z,50.105
2024-10-12T13:12:30Z,50.103
2024-10-12T13:12:45Z,50.12
2024-10-12T13:13:00Z,50.1
2024-10-12T13:13:15Z,50.072
2024-10-12T13:13:30Z,50.076
2024-10-12T13:13:45Z,50.091
2024-10-12T13:14:00Z,50.102
2024-10-12T13:14:15Z,50.095
2024-10-12T13:14:30Z,50.099
2024-10-12T13:14:45Z,50.09
2024-10-12T13:15:00Z,50.086
2024-10-12T13:15:15Z,50.08
2024-10-12T13:15:30Z,50.081
2024-10-12T13:15:45Z,50.096
2024-10-12T13:16:00Z,50.114
2024-10-12T13:16:15Z,50.107
2024-10-12T13:16:30Z,50.126
2024-10-12T13:16:45Z,50.153
2024-10-12T13:17:00Z,50.133
2024-10-12T13:17:15Z,50.135
2024-10-12T13:17:30Z,50.111
2024-10-12T13:17:45Z,50.102
2024-10-12T13:18:00Z,50.08
2024-10-12T13:18:15Z,50.079
2024-10-12T13:18:30Z,50.076
2024-10-12T13:18:45Z,50.105
2024-10-12T13:19:00Z,50.122
2024-10-12T13:19:15Z,50.118
2024-10-12T13:19:30Z,50.101
2024-10-12T13:19:45Z,50.128
